folder,file_name,prediction,reference
ACWT,ACWT01a_339.004_9.59.wav," And the other, no, the other gets mother to hand down the tree.",andgets mother to down the tree
ACWT,ACWT01a_503.723_8.39.wav," Well, Cinderella was a poor child in",well cinderella was a poor child in in
ACWT,ACWT01a_514.636_0.711.wav," Oh, God.",oh god
ACWT,ACWT01a_516.182_4.03.wav," Cinderella, poor child, and a bird.",cinderella poor child in in
ACWT,ACWT01a_525.134_6.11.wav," I mean, to do any things.",to do many things in
ACWT,ACWT01a_531.543_6.18.wav," And, uh, uh, uh...",and
ACWT,ACWT01a_539.741_0.78.wav," Oh, God.",oh god
ACWT,ACWT01a_542.548_4.1.wav, Oh. And you...,oh and you
ACWT,ACWT01a_551.975_12.13.wav," and deaf children, and children of the deaf.",troll child in stepchildren
ACWT,ACWT01a_567.671_0.88.wav," Oh, God.",oh god
ACWT,ACWT01a_569.941_5.61.wav, and wanted to go to dance.,stepchildren wanted to go to dance
ACWT,ACWT01a_576.25_5.71.wav," beautiful, da da da, da da da da.",and beautiful
ACWT,ACWT01a_582.561_11.42.wav," And it's really very sure that they, you know, about going to Tans.",and cinderella weren't sure of about going to dance
ACWT,ACWT01a_594.76_2.84.wav, And now I've,and and
ACWT,ACWT01a_599.597_2.79.wav," Oh, God, I just...",oh god i just
ACWT,ACWT01a_615.635_12.92.wav, She got to go to the dance and choose and,she got to go to the dance in shoes and
ACWT,ACWT01a_629.504_0.9.wav," Oh, God.",oh god
ACWT,ACWT01a_632.051_7.52.wav," Oh, God.",oh god
ACWT,ACWT01a_641.04_1.22.wav, And then what happened?,dance and yeah
ACWT,ACWT01a_642.657_9.06.wav," and she was dancing around at midnight,",and she was dancing around midnight
ACWT,ACWT01a_652.111_5.51.wav, and she rose to be somewhere else.,and she supposed to be somewhere else
ACWT,ACWT01a_658.051_17.92.wav, She put her foot in the plastic suit.,and and she put her foot in the
ACWT,ACWT01a_677.561_0.37.wav, I don't know.,so
ACWT,ACWT01a_680.583_4.03.wav, And she rolled off rather pains.,and she rode off with the prince
ACWT,ACWT01a_701.829_2.63.wav," Oh, a bunch of bread.",oh bread
ACWT,ACWT01a_706.282_1.55.wav, Two pieces of bread.,two pieces of bread
ACWT,ACWT01a_708.73_2.99.wav, in Jerusalem.,and
ACWT,ACWT01a_718.055_8.06.wav, jelly and peanut butter,jelly and peanut butter
ACWT,ACWT01a_726.892_6.55.wav, and sold them off and baked up peanut butter and,and turn them over and make a peanut butter sandwich
adler,adler06a_10.427_4.74.wav, It's a little bit bigger.,it's little bit better
adler,adler06a_18.783_0.45.wav, Yes.,yes
adler,adler06a_26.686_1.43.wav, It was,it was
adler,adler06a_30.728_1.07.wav, You mean what I had?,you mean what i had
adler,adler06a_33.074_1.71.wav, had something without,i had something without
adler,adler06a_37.193_1.06.wav," I was out, chunk.",i was out out out
adler,adler06a_38.861_6.31.wav," got myself, rode with the people in, and they show up for me.",got myself rode through the ambulance and theyme
adler,adler06a_56.436_1.61.wav, generally good.,i could generally good
adler,adler06a_58.769_2.39.wav," But looking at this,",but walking this
adler,adler06a_61.453_3.63.wav," The first one, my big rule, forget it.",when myforget it ja
adler,adler06a_66.839_1.65.wav, because I had no,because i had no
adler,adler06a_70.256_2.92.wav, My foot once fizzled and stuff.,my foot ones fizzled and stuffed ja
adler,adler06a_74.761_0.83.wav, I couldn't talk.,i couldn't talk
adler,adler06a_88.29_1.18.wav, Kindle walking.,generally walking
adler,adler06a_90.417_4.62.wav," I had cooking, some lunch will again and then",i had walking someoneagain and then and
adler,adler06a_96.291_3.8.wav, And finally I got it for Gwendolyn.,and finally i got it forjar
adler,adler06a_100.179_1.21.wav," Shit, it's good.",is good
adler,adler06a_103.351_2.79.wav, Just walking again sometimes is bad.,just walking again sometimes is bad
adler,adler06a_107.158_5.41.wav," Just for a talk, is there",just or talk is
adler,adler06a_116.022_1.1.wav, some I get.,some i get
adler,adler06a_117.761_0.79.wav, So I can't.,some i can't
adler,adler06a_120.24_4.85.wav, And I just have to pend what I have and have to get.,and i just haftawhat i have and hafta get
adler,adler06a_140.636_0.39.wav, Mm-hmm.,mhm
adler,adler06a_160.525_4.18.wav, I always... Peg Ruggs,well i was big
adler,adler06a_169.65_3.48.wav," I was, my chute was Russell.",my shooed was wrestle
adler,adler06a_176.389_1.35.wav, I got a small,i got asmall one
adler,adler06a_178.121_2.42.wav, should have gotten a big one but a small one,i shoulda gotten a big one but a small one
adler,adler06a_181.797_1.19.wav, I was in the Marines.,i was in the marines
adler,adler06a_185.652_0.8.wav, was a,i was
adler,adler06a_189.413_7.26.wav," Even before schooling, they puzzled me with the barrels.",even my before schooling we won a medals
adler,adler06a_197.626_2.09.wav, So I was shooting for this.,so i was shooting for this
adler,adler06a_201.223_5.48.wav, It was Federalists and the people for the Marines.,i was federal this in the people for for marines
adler,adler06a_207.254_0.92.wav," The people from,",the people for
adler,adler06a_209.152_0.95.wav, Because I was Denzel.,because i was
adler,adler06a_211.364_0.59.wav, for people.,for people
adler,adler06a_214.723_3.66.wav," And for the Lord, I was going here to the word of the Lord.",and for as lord i was going here to northward
adler,adler06a_221.214_1.6.wav, And it was in the people's,so and the people
adler,adler06a_223.664_1.94.wav, You got in school going to Marines.,you got the schools go in the marines
adler,adler06a_225.682_1.72.wav, for the airplanes.,and that's for the airplane
adler,adler06a_228.046_0.64.wav, Which I did.,which i did
adler,adler06a_230.84_2.85.wav, It was almost school just for schooling.,it was almost school just for schooling
adler,adler06a_236.103_1.5.wav," I went to school, but I...",i went school but i
adler,adler06a_240.1_6.02.wav," I wasn't schooling, but I was for bands and stuff.",i wasn't schooling but i was for for for bombs and stuff
adler,adler06a_246.27_2.18.wav," shoes, bombs and stuff.",shoes bombs and stuff
adler,adler06a_249.772_6.42.wav," In Japan, I cool on for aircraft.",in japan and they cool on for aircraft
adler,adler06a_256.661_4.011.wav, For all. You couldn't care for the corn world.,for all we couldn't here for the corn rolled
adler,adler06a_262.27_7.4.wav, And just had a pronged stuff and corn on the back.,and just hadstuffed andand
adler,adler06a_270.806_3.44.wav, I had stuff for bombs and stuff for this.,i had stuff for bombs and stuff for this
adler,adler06a_277.687_7.32.wav," No. Well, this one, the long one, is in about two woods for middle time.",no well this one long ones and about two woods were like middle time
adler,adler06a_323.234_3.35.wav, The first one was clogged.,the puss one was
adler,adler06a_329.428_2.64.wav," You kick foot, got this.",you kick foot got this
adler,adler06a_332.98_11.09.wav," is for Linswood. For Linswood, it was in Linswood. Now, Linswood will...",is forwardforwas it in anowwashose
adler,adler06a_350.752_3.5.wav, This guy was looking the beard and the head,this guy was looking thein the
adler,adler06a_354.587_2.5.wav," and looking, walking here.""",and looking walking here
adler,adler06a_383.148_5.25.wav, or a lizard with a... cruzzles.,herwas
adler,adler06a_391.704_1.98.wav, Didn't the...,and she didn't think the
adler,adler06a_397.61_1.21.wav, Fucking water.,walking water
adler,adler06a_399.977_1.83.wav, Turned around to school.,turned around to school
adler,adler06a_401.858_4.74.wav, federal or,and heher
adler,adler06a_430.952_6.08.wav," Or that's the woman, well, the gourd.",that's the woman where all the the gored
adler,adler06a_439.558_4.88.wav," person was on a, look in this one, maybe it's this.",person was looking this one and made this this
adler,adler06a_446.377_2.39.wav, dog was Arnold.,dog was
adler,adler06a_449.792_1.67.wav, Got walking for him.,got walking for him
adler,adler06a_452.035_3.94.wav," Had people walking for a corn, probably for this one.",had people walking for a corn probably probably for this one
adler,adler06a_474.218_6.5.wav, This was a long cord work.,this was a long cord war water
adler,adler06a_482.668_6.48.wav, was Fred,thewas federal or
adler,adler06a_491.71_2.86.wav, A long wood would fatal hurt.,awouldher
adler,adler06a_495.047_1.36.wav, She was good with him.,she's got one of him
adler,adler06a_498.133_5.67.wav, Jennifer had to get a base for her to,and for she hadta get afor her to
adler,adler06a_504.547_2.64.wav, get it get it all,gets it all
adler,adler06a_526.617_2.92.wav," A little bit, I think.",a little bit i think
adler,adler06a_596.573_3.4.wav, What was the name?,was what was the name
adler,adler06a_601.453_0.58.wav," So,",cinderella
adler,adler06a_603.452_4.74.wav, She was a angel for Legwood.,she was angel for
adler,adler06a_609.248_3.52.wav," Je vous offrendrai, for someone else,",she was forfor someone else
adler,adler06a_613.137_9.53.wav," The other children, children for her are three children or whatever.",the other children children for her are three children or whatever
adler,adler06a_623.33_5.5.wav," With her, it was very closed, walking in generalists.",with her it was very closed walking in
adler,adler06a_632.079_3.05.wav, The pencils are going for the party.,are going for the party
adler,adler06a_636.472_4.54.wav, And she would send people for presles for the present.,and she was fen people forfor the present
adler,adler06a_644.212_8.44.wav, The president was supposed to be 30 or something.,the present was supposed to be thirty thirty or something
adler,adler06a_654.295_3.97.wav, She had a rand from home. She had a little,she had a ran from home she hurried
adler,adler06a_659.421_3.64.wav, people were,the people were
adler,adler06a_663.301_1.08.wav, They found her litter.,they found her letter
adler,adler06a_666.643_3.61.wav," And the peasants with the other people, when they found her,",andthe other people wed they found her
adler,adler06a_671.954_3.45.wav," Founder of Frederick Presley and the Coles, this one.",found her for theand the calls this one so
adler,adler06a_683.45_0.37.wav, Okay.,okay
adler,adler06a_693.843_4.36.wav," Whatever you quote, hold, and fill it.",whatever you hold and fold it
adler,adler11a_18.783_0.808.wav, Mm-hmm.,mhm
adler,adler11a_22.019_0.836.wav, Yeah.,yeah
adler,adler11a_22.855_4.945.wav," One,",one
adler,adler11a_41.576_6.098.wav, Yeah.,yeah
adler,adler11a_63.656_1.883.wav, Yeah.,yeah yeah
adler,adler11a_67.822_11.621.wav, Uh...,h
adler,adler11a_82.167_3.555.wav, Yeah. Yeah.,yeah yeah
adler,adler11a_86.617_21.899.wav, No.,no
adler,adler11a_123.556_6.972.wav, Yeah.,yeah
adler,adler11a_131.514_0.446.wav, Yeah.,yeah
adler,adler11a_132.92_1.117.wav, Yeah.,yeah
adler,adler11a_136.032_3.241.wav, Yeah.,yeah
adler,adler11a_141.338_5.194.wav, Yeah. Mmm.,no
adler,adler11a_148.403_0.922.wav, No.,no
adler,adler11a_152.352_0.332.wav, Yeah.,yeah
adler,adler11a_158.558_4.14.wav, Yeah. Mm-hmm. Okay. Yeah.,yeah
adler,adler11a_174.27_2.366.wav, France. France.,no
adler,adler11a_176.291_1.497.wav, It was at Disneyland in France.,was it disneyland in france
adler,adler11a_177.788_6.96.wav, no,no
adler,adler11a_194.797_1.274.wav, Yeah.,yeah
adler,adler11a_196.071_3.204.wav, Lady.,de desi
adler,adler11a_199.275_0.993.wav, Mm.,no
adler,adler11a_200.268_3.182.wav, Mm-hmm.,hm hm hm hmsi
adler,adler11a_203.45_0.874.wav, Amen.,no
adler,adler11a_204.324_3.876.wav,.,bu bu bu bu bu bu bu busi
adler,adler11a_208.2_1.192.wav, No.,no
adler,adler11a_212.193_3.035.wav, I'm sorry.,can
adler,adler11a_217.124_0.624.wav," No, no.",no no
adler,adler11a_219.016_12.724.wav, Yeah. Hmm.,yeah
adler,adler11a_233.316_1.066.wav, Yeah.,yeah
adler,adler11a_235.065_0.514.wav, Yeah.,yeah
adler,adler11a_240.522_1.407.wav," Well, I don't know.",oh well hello
adler,adler11a_245.739_2.206.wav, Yeah.,yeah
adler,adler11a_251.554_1.794.wav, Yeah.,yeah
adler,adler11a_253.379_3.98.wav, Yeah.,yeah
adler,adler11a_292.467_0.454.wav, Yeah.,yeah
adler,adler11a_292.921_10.579.wav, six of you,yeah
adler,adler11a_306.2_1.056.wav, Yeah.,yeah so
adler,adler11a_311.48_1.15.wav, Yeah. Yeah.,yeah yeah
adler,adler11a_312.63_11.296.wav, one,one eighty
adler,adler11a_323.927_1.388.wav," Oh, yeah.",no yeah
adler,adler11a_325.555_2.274.wav, That's a long time ago.,yeah yeah yeah
adler,adler11a_328.856_2.063.wav," One, uh,",one
adler,adler11a_368.4_0.858.wav, Yeah.,yeah
adler,adler11a_372.577_3.375.wav, Yeah.,yeah
adler,adler11a_379.062_3.471.wav, Can you tell me a little bit about that again?,no
adler,adler11a_395.604_2.472.wav, Yeah. Uh-huh.,yeah
adler,adler11a_398.017_2.192.wav," Yeah. One, uh...",yeah one
adler,adler11a_402.568_0.327.wav, Yeah.,yeah
adler,adler11a_403.879_5.333.wav, It looks like the baby's in your arms.,one yeah
adler,adler11a_423.222_1.106.wav, No.,no
adler,adler11a_426.379_1.398.wav, No.,no
adler,adler11a_435.605_0.913.wav, Yeah.,yeah
adler,adler11a_447.495_0.354.wav, Yeah.,yeah
adler,adler11a_456.65_5.548.wav, one,one
adler,adler11a_463.762_1.916.wav, one.,yeah one
adler,adler11a_472.106_0.532.wav, Yeah.,yeah
adler,adler11a_474.215_8.065.wav, Yeah. Wow. Were you...,yeah while
adler,adler11a_483.485_1.944.wav, No.,no
adler,adler11a_487.284_0.968.wav, Mm-hmm.,mhm
adler,adler11a_489.33_1.847.wav, Yeah.,yeah
adler,adler11a_491.631_9.498.wav," One, one.",one one
adler,adler11a_502.963_0.544.wav, Yeah.,yeah
adler,adler11a_504.499_0.413.wav, Yeah.,yeah
adler,adler11a_506.06_2.287.wav," When they, when... Yeah.",one yeah
adler,adler11a_509.76_0.994.wav, know.,no no
adler,adler11a_510.754_5.192.wav, Oh.,oh oh
adler,adler11a_517.011_0.427.wav, Yeah.,yeah
adler,adler11a_518.421_0.709.wav, Yeah.,no
adler,adler11a_522.372_1.822.wav," Oh, yeah.",oh yeah
adler,adler11a_524.545_0.92.wav, Yeah.,yeah
adler,adler11a_533.931_0.305.wav, Yeah.,yeah
adler,adler11a_542.675_3.825.wav, one,oh one
adler,adler11a_547.281_1.365.wav, Yeah.,yeah mhm
adler,adler11a_549.018_4.733.wav," Yeah, one, one.",yeah one one
adler,adler11a_567.614_4.684.wav, Yeah. No. It looks to me like you're,yeah no
adler,adler11a_572.932_0.735.wav, Yeah.,yeah
adler,adler11a_574.207_1.653.wav, Yeah. Okay.,yeah
adler,adler11a_575.86_1.464.wav, and,no
adler,adler11a_578.007_2.531.wav, Yeah.,yeah yeah
adler,adler11a_609.5_0.958.wav, Yeah.,yeah
adler,adler11a_616.756_0.47.wav, And tell me.,mhm
adler,adler11a_617.6_0.617.wav, Thank you.,mhm
adler,adler11a_632.465_3.192.wav, beginning and the middle.,wow
adler,adler11a_642.068_5.276.wav, Uh oh.,uhoh
adler,adler11a_647.096_1.417.wav, He got angry at him.,yeah yeah
adler,adler11a_649.821_0.965.wav, Субтитры сделал DimaTorzok,yeah
adler,adler11a_658.814_4.157.wav," One. No, no, no, no, no, no, no.",mhm one no no no no no no no
adler,adler11a_664.248_0.867.wav, No.,no
adler,adler11a_665.115_1.865.wav, Uh-oh.,uhoh
adler,adler11a_668.968_2.826.wav, Uh-oh.,uhoh
adler,adler11a_672.783_2.257.wav, Yeah.,yeah
adler,adler11a_675.04_4.821.wav," Oh, I don't know.",oh
adler,adler11a_679.861_5.426.wav, Yeah.,yeah
adler,adler11a_686.182_1.083.wav, Now you can.,yeah
adler,adler11a_689.871_1.204.wav, No.,no mhm
adler,adler11a_692.331_1.324.wav, Mm-hmm.,mhm
adler,adler11a_694.075_0.917.wav, Yeah.,yeah
adler,adler11a_695.651_1.015.wav, Yeah.,yeah
adler,adler11a_696.666_0.727.wav," É, eu...",hello
adler,adler11a_698.401_1.601.wav, Thank you.,yeah
adler,adler11a_702.002_0.325.wav, Thank you.,yeah
adler,adler11a_707.508_1.164.wav, Mm-hmm.,uhoh
adler,adler11a_708.672_5.519.wav, Hello. Hello.,oh no
adler,adler11a_716.085_2.409.wav, Yeah.,yeah oh
adler,adler11a_718.494_4.527.wav," Oh, tell us.",oh daddy
adler,adler11a_728.2_0.8.wav, Yeah.,yeah
adler,adler11a_736.173_1.733.wav, Here.,yeah
adler,adler11a_740.99_1.81.wav, Oh yeah. Yeah.,oh yeah
adler,adler11a_743.811_3.238.wav, Shit.,shit
adler,adler11a_746.916_0.661.wav, Yeah.,yeah
adler,adler11a_749.113_1.621.wav, Yeah.,yeah
adler,adler11a_753.343_2.89.wav, What's going on there?,oh
adler,adler11a_756.233_6.999.wav," One, I don't know.",oh one i don't know
adler,adler11a_767.241_13.242.wav, One. Yeah. Mm-hmm.,one yeah mhm
adler,adler11a_780.483_11.544.wav, One. Yeah. Oh.,one yeah
adler,adler11a_793.855_2.055.wav, that this,yeah
adler,adler11a_797.855_5.701.wav, Yeah. Yeah.,yeah yeah
adler,adler11a_805.103_1.621.wav, Yeah.,yeah
adler,adler11a_807.204_2.108.wav, Okay.,yeah
adler,adler11a_820.475_1.208.wav, Non.,no
adler,adler11a_833.101_5.899.wav, Put them back together again.,butter
adler,adler11a_840.0_3.265.wav, Yeah.,yeah
adler,adler11a_849.449_0.82.wav," Oh, yeah.",oh yeah
adler,adler11a_850.269_1.151.wav, Okay.,mhm
adler,adler11a_856.058_0.627.wav, Hmm?,mhm
adler,adler11a_861.728_2.032.wav, Oh. Okay.,oh mhm
adler,adler11a_866.434_0.928.wav, Mm-hmm.,mhm
adler,adler11a_878.208_0.879.wav, Oh.,oh mhm
adler,adler11a_965.317_0.911.wav," Yeah, well.",yeah well
adler,adler11a_966.228_2.631.wav, I know.,hello hello
adler,adler11a_978.391_2.444.wav," No, no, no, no, no.",oh no no no
adler,adler11a_984.361_4.976.wav, 와우.,well
adler,adler11a_1010.737_1.405.wav, Hello.,hello
adler,adler11a_1012.142_3.272.wav, Oh.,hello
adler,adler11a_1018.271_1.364.wav, Hello.,hello mhm
adler,adler11a_1020.0_1.469.wav, Happy,happily
adler,adler11a_1022.52_2.676.wav, The ab. The ab.,after
adler,adler11a_1025.775_1.39.wav, Happily.,happily
adler,adler11a_1027.098_1.193.wav, Ever.,ever
adler,adler11a_1028.291_1.567.wav, Absolutely.,after
adler,adler11a_1030.311_1.578.wav, Okay.,yeah
adler,adler11a_1031.889_3.661.wav, I,one
adler,adler11a_1035.55_2.138.wav, No.,no
adler,adler11a_1037.688_5.508.wav," Oh, shit.",oh shit
adler,adler21a_2.664_0.39.wav, Okay.,ok
adler,adler21a_5.92_1.13.wav, It's better.,it's bett
adler,adler21a_7.281_1.99.wav, But it's very better,it's it's very better g
adler,adler21a_9.895_3.11.wav," It's proving, little by little, but it's proving.",it's improving little by little but it's improving
adler,adler21a_17.166_5.3.wav," No, I am heart surgery.",no i'm i am heart surgery
adler,adler21a_22.971_3.14.wav, So two weeks I'm sleeping.,so two weeks i'm sleeping
adler,adler21a_26.855_7.58.wav, but I'm waking up so and that's how and that's what you have that is,but i'm waking up so and that is
adler,adler21a_37.055_1.47.wav, two weeks is sleeping.,two weeks is sleeping
adler,adler21a_39.087_2.25.wav, and then waking up.,and then waking up
adler,adler21a_41.386_2.66.wav, So that's how Soak happened.,so that's how stroke happen
adler,adler21a_49.407_0.57.wav, Shook.,stroke
adler,adler21a_50.624_2.79.wav," I mean, yeah.",i mean yeah
adler,adler21a_54.355_8.74.wav, I is speaking is Michael Michael Michael every Michael Michael Michael,i is speaking is firstnamem firstnamem firstnamem every firstnamem firstnamem firstnamem
adler,adler21a_63.656_6.77.wav," and arm and leg is finished, like before finish, finished.",and arm and leg is finished like before finish finish
adler,adler21a_71.59_7.97.wav, But I still no idea what happened.,but i still no idea what happen
adler,adler21a_81.323_2.5.wav," Until, you know, slowly.",yeah until you know slowly
adler,adler21a_85.616_4.21.wav, people people,people people say
adler,adler21a_89.941_1.64.wav, listen sorry stroke,listen sorry stroke
adler,adler21a_91.957_1.09.wav, That's all I got.,or something like that
adler,adler21a_103.325_8.25.wav," I mean, arm, leg and speaks all the time, all the time, all the time.",i mean arm leg and speaks all the time all the time all the time
adler,adler21a_127.656_2.34.wav," to find out how you're talking it. Sure, sure.",okay sure sure
adler,adler21a_141.626_0.63.wav, Sure.,sure
adler,adler21a_144.829_2.04.wav, Lots of fun.,lots of fun
adler,adler21a_148.224_20.88.wav," Well, it's funny for me and Dave's turn.",well it's funny for me and firstnamed lastname
adler,adler21a_181.095_10.95.wav," Me, I was me and another guy whose name I don't recall, I do recall, but",me me and another guy whose name i do recall but
adler,adler21a_192.932_2.14.wav," Gary Davis, Gary Davis.",firstnameg lastname firstnameg lastname
adler,adler21a_195.497_0.46.wav, I think so.,i think so
adler,adler21a_196.968_4.74.wav, is medicine.,is medicine
adler,adler21a_201.753_7.68.wav, He's a siren and he is 9-1-1.,he's siren and he is nineoneone
adler,adler21a_210.657_1.42.wav, and it's funny,and it's funny
adler,adler21a_213.877_13.55.wav," Patient is very, very like,",patient is very very like arm
adler,adler21a_229.359_6.19.wav, Its arm is curled and the feet is curled.,arm its arm is curled and the feet is curled
adler,adler21a_235.598_7.58.wav, It's very... It's very curled.,it's very curled
adler,adler21a_244.27_4.47.wav," and very like not talk, not nothing, nothing.",and very like not not nothing nothing
adler,adler21a_250.099_5.79.wav," And I don't know, me or Gary or both laugh.",and i don't know me or gary or both laugh
adler,adler21a_257.055_1.241.wav," Beats me, but laughs.",me beats me but laugh
adler,adler21a_260.502_3.92.wav," and laugh like a lot, a lot, a lot, a lot.",and laugh like lot a lot a lot a lot a lot
adler,adler21a_264.991_3.67.wav," I don't know why, but it's funny.",i don't know why but it's funny at something yet
adler,adler21a_270.352_3.76.wav, IV stick.,and i v stick
adler,adler21a_276.335_14.8.wav, every time me and Gary sick nothing leg arm neck nothing,into arm every time me and gary stick nothing leg arm neck nothing
adler,adler21a_291.575_3.0.wav," No, it's nothing, nothing, nothing.",no is nothing nothing nothing
adler,adler21a_295.403_1.32.wav, very small,very small
adler,adler21a_298.567_6.43.wav," Very funny, I don't know why, but it's funny.",very funny i don't why but it's funny
adler,adler21a_311.615_0.66.wav," No, that's okay.",no that's okay
adler,adler21a_313.225_6.87.wav, Yeah. Some more or?,yeah some more or
adler,adler21a_325.739_0.74.wav, Yeah.,yeah
adler,adler21a_328.999_0.33.wav, Yeah.,yeah
adler,adler21a_347.64_0.37.wav, Mm-hmm.,mhm
adler,adler21a_350.628_0.45.wav, Yes.,yes
adler,adler21a_360.421_2.76.wav, Bob is kicking a sucker.,bob is kicking a soccer
adler,adler21a_364.722_11.37.wav, and kicking the soccer and um and kicking a,and kicking the soccer and and kicking a
adler,adler21a_378.86_12.37.wav," The house is, the house is, is, football is, crash the cart.",socce crash the cart
adler,adler21a_393.477_13.67.wav, and inside the Robert is its,and inside robert is it's
adler,adler21a_408.181_1.11.wav, What's going on?,whoa what's going on
adler,adler21a_409.5_5.72.wav, because soccer is crashing the lamp.,because soccer is crashing the lamp
adler,adler21a_417.587_4.96.wav, and Bob is looking outside,and bob is looking outside
adler,adler21a_423.3_6.05.wav, and see something was wrong.,and see something was wrong
adler,adler21a_447.928_1.47.wav, The boy is...,the boy is
adler,adler21a_450.316_0.58.wav," No, thank you.",no thank you
adler,adler21a_451.063_7.53.wav," It's okay with the rain. It's raining, it's cloudy, but that's all.",i'm it's okay with is cloudly but that's all
adler,adler21a_462.05_5.91.wav," And then boy is walking and drop, drop, drop, drop.",and then boy is walking and dropo dropo dropo dropo
adler,adler21a_468.284_6.38.wav, and then raining hard.,and then raining hard
adler,adler21a_475.458_4.66.wav," and the boy running inside and say,",and the boy running inside and say
adler,adler21a_481.423_2.29.wav," Yeah, sorry about that.",yeah sorry about that
adler,adler21a_485.037_3.48.wav, I am covered with rain.,i am covered with rain
adler,adler21a_489.528_10.08.wav, And the mom is very wrong.,and the mom is is very wrong
adler,adler21a_505.31_2.8.wav, It's a... Mm-hmm.,it's it's mhm
adler,adler21a_509.085_7.43.wav," Anyway, and then he boy is walking to the bus.",anyway and then he boy is walking to the bus
adler,adler21a_517.602_8.881.wav," But also, he is...... umbrella.",but also he is umbrella
adler,adler21a_610.002_1.08.wav," Barking, barking, barking.",barking barking barking
adler,adler21a_613.058_4.32.wav, Okay.,okay
adler,adler21a_619.081_14.25.wav, And the cat is cat is,and the cat is very not afraid
adler,adler21a_641.052_6.7.wav, But the downstairs is girl is,but the downstairs is girl is
adler,adler21a_648.834_1.67.wav," Come back, come back, come back.",come back
adler,adler21a_652.325_10.37.wav," But he, some, he, she is calling a fireman.",but she some she she is calling two firemen
adler,adler21a_665.53_0.47.wav," and say,",and say
adler,adler21a_666.404_7.72.wav, Please help me because kitty cat is upstairs.,please help me because kitty cat is upstairs
adler,adler21a_675.509_11.34.wav," So he, she, he, two firemen is racing to go, go to,",so he she he two firemen is racing to go go to
