reference_transcriptions,generated_transcriptions
so if i have a problem with my stuff that's the reason i am working yet as i am," So if I have a problem with my tongue, that's the reason I am working as I am."
before i was here out in a aja," No, that's just coming along good, because I had the—before I was here in a cooperative"
and and that does rootja, and that that's good
at the time i didn't know e," At the time, I didn't know."
i didn't know it e, I didn't know.
but in time i have spoken," But in time, I have spoken."
no i'm i'm better at, I'm better than you.
yeah i," Yeah, I did, yeah."
nineteen hundred, 19 hours.
as, as
twenty two years ago january in january some time," 22 years ago, January and January sometime."
no yeah, No. Yeah.
well i had the stroke, I didn't have... I had the stroke.
and then i had the the stroke right after that," And I didn't have, and then I had the stroke right after that."
so until the end of january or february is when i went went went to a stroke," So, inside of the January or February is when I went to his truck."
and then i couldn't eat right and you know my my my, and then I couldn't eat right and you know my mind was
i don't have any any problems in legs or arms, I don't have any problems with laser alarms.
but i do had have a problem with the stroke," or anything about that, who had ever fought with the stroke."
what i do is a lot of you know until i say it or the other," What I do is, what I do is a lot of, like I say all the other"
i do a lot of person, They do a lot of person-to-person.
and i i i i add a lot of," And I too, I aired a lot of"
well i i i have in my head what i hafta but i more of of of of a liver come as different," Well, I have in my head what I have to do to get more of a liver come stiffen."
what i say is one thing and what i do is something else, What I say is one thing and what I do is something else.
that's my problem, Blessed by God.
no well i had a woman," Well, I had to..."
did it for a year and a half or, the various area here for
and then i start started in this september," And then I started in September,"
and i just, and I just should.
would would what did it," World War II, just like that."
but it take lots lotta lots of time, It did take a lot of time.
it to to be be maybe because i was married once before, It could be maybe because I was married once before.
and it it it's and i left," And it's, uh, and I left."
and i got live on my own, And I got to live on my own.
and then i got married again, And then I got married again.
and then i got divorced divorce again, And then I got the divorce of her again.
and so right now i'm i'mwith my sister," And so right now, I'm working with my sister."
she has a room so i root my my my my mother," She has a room. Sorry, where's my mother?"
my i i rented her room in in her home, I rented her room in her home.
and i i'm i'm, And I'm on it.
and it's been very good, And that's a very good point.
she's she's very good with me as far as as, She's very good with me as far as
she justnewspaper new news," She has, she has a newspaper or news,"
and and i i i i all the things in newspaper, And I had all the things in those papers.
so i i do very goodwith this job, So I had a very good mood with this job.
thank thank god i have somebody to help me, thank you guys I heard somebody said help me
this starts with with with, This data is
the the the taking the ball, He had taken the ball.
and it goes into the story and it breaks breaks window, And it goes into the story in the first window.
and he's watching the ball come come through, And he's watching it come to him.
and he's looking out the window and looking who kicked the ball, and he's looking out the window and looking off the board.
okay she she came in with the umbrella," Okay, she came with the umbrella."
and it was sposta be raining, and it was supposed to be raining.
and is she came came through with the umbrella, And it's changed the world.
and then it rained, And then it rained.
and over here it was raining, And over here it was raining.
and over here was, and our hair was
he got the umbrella, He got the umbrella.
and here he's walking, and here he's walking.
and that is the umbrella that that he he should have been getting, and then the umbrella that the peach sugar had at the beginning.
well was was ato the rain," No, that was going to the rain."
there's that, Thank you.
she she shewith the the ice the ice, .
was up in the tree, but it was up in the trees.
and she he went with but he," And he, and he was, he,"
and he's got the umbrella, And he's got the umbrella.
and a the the ladder stopped," And the president, Harry Griffith, the bullet stopped."
and he fell down or the these these roots," And he fell down, or the, these ropes."
and he truck a firemen came with a ladder, And he was a
and they had this, And he had this.
and they they they gonna give him so he he getting out of this," And they're like, give him some of these chaps out of this ship."
looks like they're on a boat, And so the honor vote
and the boat sups on the side, and about such uh... side
and they they went overboard," I mean, they won over Ford."
and that's he's hanging on to the the branch, And he's hanging onto the leaf.
and he's she was hanging with him, and she was hanging with him.
yeah all of that's," Yeah, I imagine."
she's she's hanging with him to boot the," She's hanging with him to do the lamp, the lamp."
i hope hurt, I hope that looks like something.
i i i i sort of," I just, I just, I just ordered it down."
they they they the three and then her her sisters they her sisters," that they, uh, uh, three, and then, uh, sisters,"
and and she was doing all the work, And she was doing all the work.
and and she was, and she was
and," And, uh,"
so she she," So she, she, uh,"
i i don't know how she got the this this, I don't know how she got a...
what did slippers, but it is super simple.
and she's, And she
and the slippersoff her her her her feet, and their super-slippery feet.
and she had a very good time, And she had a very good time.
she and, I'm not sure what I'm doing.
and this sire saw having a good time, And that's how I was having a good time.
and then, and then you're not done.
and then it shows almost twelve o'clock and she hadta get home," And then it was almost 12 o'clock, and she had to run home."
and she hadta get, and she had a head.
and she hadta get home and get get get achristmas," And I had to get home and get... Good, good, good."
and and then there's time was, And then there was a time or so
probably going to, I'll be going to
and he he found the slipper, And he's found a system
and he put it on, and he put it on.
and she was very good," And she goes, where have you gone?"
not," No, don't, don't, don't."
okay, Hello.
okay, Okay.
well you go to the the garden, We can go to the garden.
you get the peanut butter," and try to say, hey, you get the freedom, whatever."
and youand the jelly, and a
and, or whatever.
you get the bread, get to bread
and you you eat it toasted or like you like it, And you either attempt it or you like it.
and then you put the peanut butter on the, And then you put the peanut butter on the sink.
and you put the jelly, and they put the jelly.
and you, And
you eat it," I mean, he did."
it's about about fifty fif, It's about 50-50.
i really don't, I really don't.
sometimes it's really good and then other times i just can't do the words you know," Sometimes it's really good, and then other times I just can't do the words, you know?"
so that's the way it is," So, so it is."
i guess about three four years ago," I guess about three, four years ago."
i was gonna do something," Um, I was gonna do something."
i guess i was gonna do something with my computer, I guess I was going to do something with my computer.
and i accidentally went over the side, And I accidentally went over the side
and when i went over the side i went down a flight of stairs," And when I went over the side, I went down a flight of stairs."
and i was that way until sister somebody i forget who it was found me," And I was that way until somebody, I guess it was my brother, sister, somebody, I forget who it was, found me."
and that's when everything started," And, uh, that's when everything started."
oh i went to," Well, I went to school."
i forget what it was now, I get what I was now.
but i i was only there for about two weeks, But I was only there for about two weeks.
and then then i was by myself for awhile, And then I was by myself for a while.
and then somebody came along," And then somebody came along,"
my sister inlaw came came up with this idea coming to adler aphasia center, My sister-in-law came up with this idea of coming to Adler Aphasia Center.
and i've been that way ever since, And I've been that way ever since.
i really don't know, I really don't know.
i went to school, I went to school.
i," I went, uh, I..."
i don't know, No.
my my family's good, My family's good.
they both come and see me at times," Uh, they both come and see me at times."
they come come out at times, They come out at times.
i go to my sister inlaw's, I go to my sister-in-law's.
and sometimes i go overnight, And sometimes I even go overnight.
everything's pretty good, Um... Everything's pretty good.
one the the ball was was kicked, The ball was kicked.
two it went through the window, It went through the window.
three and hit the not the couch," and hit the, what do you call it, the, not the couch."
oh i forget what it is now, I forget what it is now.
four and then they they hadta do something about the window because it was not good, And then they had to do something about the window because it was not good.
one boy said, boy said
no i don't need it," No, I don't need it."
two he he said, Set up.
i don't the the umbrella at all, I don't need the umbrella at all.
three then it started to rain, and it started to rain.
four but he went back home, We went back home.
five and said," and said,"
this there gotta be something better than this, There's got to be something better than this.
and it was six this, And it was this.
the girl was looking for a way to get the cat down," Um, the girl was looking for a way to get the, get the, get the, what do you call it down? The uh, cat down."
he's trying to stay out of the way of the dog because the dog is gonna come after him if he doesn't," He's trying to stay out of the way of the dog, because the dog is going to come after him if he doesn't."
the fireman was there to try and get the the cat down, The fireman is there to try and get the cat down.
and the bird's singing, And the bird's singing.
the fireman or whoever the body is is trying to get this girl out of the raging," the fireman or whoever the body is, is trying to get this girl out of the raging"
he's trying to get her to do this so he can get out, He's trying to get her to do this so she can get out.
i think so, I think so.
well it was about the how the girl wanted to have something other than nothing at all, It was about how the girl wanted to have something other than nothing at all.
and every time she wanted to go to the ball or something like that mother the mother said," And every time she wanted to go to the ball or something like that, the mother said,"
no, No.
and she decided finally to do something about that, And she decided finally to do something about that.
and she she tried to get her her to do something, and she tried to get her to do something
and she didn't do she didn't do it at all, And he didn't do it. She didn't do it at all.
and eventually she was able to get somebody to take her to the ball, And eventually she was able to get somebody to take her to the ball.
and she she did the ball, And... She did the... She... She... Did the ball...
and that's when she finally found found him, And that's when she finally found him.
with or without the crust, With or without the crust.
well in a peanut butter and jelly sandwich you have butter or nothing on one side," Well, in a peanut butter and jelly sandwich you have butter or nothing on one side,"
and you have the peanut butter and jelly on the other side, and you have peanut butter and jelly on the other side.
and that's how it's made, And that's how it made...
and what i'd like you to do is talk through your answers as much as you can, and what I'd like you to do is talk through your answers as much as you can.
how do you think my speech today, How do you think Betsy today?
i think it's pretty clear, I think it's
well i work at the ttc," Well, I work in the teaching"
so the most there, So the both is .
and, And
oh dear," Oh, dear."
yeah, Yeah.
and theythey came to both stop until they fell, and they came to a bus stop until they ...
and they first generation, and they plus
oh typical day means keeping on a," Oh, um, Dependente means keeping on a salary"
oh dear," Oh, dear."
a kid get the ball, He kicked in the ball.
and he kicked through the window," and he takes it through the window,"
and it landed in the chair, and the chair.
and, and it went.
well he he didn't want to keep the the silent," Well, they wanted to keep the ... Oh, they're silent."
and it started to rain, and it started to rain.
and it rained a lot," Oh, and it rained a lot."
and, And
and a cat got up a tree, and a cast box of a tree.
and kinda tell the, and the kind of ... Tell them.
and the fire engine came and and the kid," and the parents came and came, came, came."
mhm, Amen.
and cinderella she goes on a hard day," Cinderella, she goes on a hard day."
and meets the prince," and it means, it means the events."
she makes, um yeah Mr. Benz
and and and she, And she'd come
she don't like her sisters, She don't like his sisters.
well then there," Well,"
yeah friends she comes," The revenge, she comes."
and he's, And age.
oh she, Oh Oh
so they out," So, there's this."
so the prince is made, So the prince made that
and yeah the prince men all the time," Yeah, the Prince bandit's sons haunted this town."
the princess says that it the pinch, The princesses The princesses
no, No.
the princess she made," The prince, he made"
and all the the the time, and all the time.
the prince, They are planes.
and all the time, And that all the time.
the prince is," The Prince is in Berlin, Germany."
and she loses a shoe, and he loses his shoe.
and the, .
she and the queens they were alright," and the queens, they were all right."
and i can't, And I can't.
all i did, Uh... Huh. All I did to mean...
i i i, I I I
okay, game.
the bus is coming, They're both seeds to come.
the tour bus coming, The two of us
the tour tour bus is coming into the town, The tour bus is coming into the town.
the tour bus coming into the town to pick up the people, The trouble's coming into the town to pick up the people.
the tour bus, care bus
oh dear, Ha ha ha.
yeah, Yeah.
the tour bus is coming into the town to pick up the people, who was coming into the town to pick up the people.
the tour bus coming to the town to pick up people who are ready to swim, The fear was coming into town to pick up people who were unready to swim.
oh dear, Oh dear.
the dog chased the cat up the tree, They don't change the kind of the tree.
the bird was caught by the man, The bird was caught by the man.
what would you like a car in the movie, would use a car in the movie.
book likes to read children, Book lies to we children.
icecream tastes good in the summer, Ice cream taste gone in the summer.
beautiful flowers smelled lovely woman," Beautiful flowers, spent a lovely book."
count to ten as fast as you can, down to ding and back to ding.
the man saw the dog that the time, The man saw the dog that the chum
tell me the name of the person next door, Tell me the name of the person next door.
how many are the gun, I'm in the Arden Garden.
the tiger was clawed by the lion, The tiger was caught by the lion.
the bad caused, the bad
oh dear, Ha ha ha.
the bad, that bad
no, No.
good compared to what it was before, good compared to what it was before.
that i couldn't talk at all," I couldn't speak, I couldn't talk at all."
and and i learned to talk, and I learned to talk.
yes, Yes.
firstnamet took me to the," Um, I went to the hospital, Terry took me to the hospital."
no, Nice.
because i didn't know, because I didn't know.
because he he didn't know what was wrong with me, because he didn't know what was wrong with me.
but i went in to the hospital anyway, but I wouldn't need to the hospital anyway.
but the doctor said i had a stroke and it was bad, But the doctor said I had a stroke and it was bad.
but but this is what i know because this what i've been told, But this is what I know because this is what I've been told.
nothing, Nothing.
nothing, Nothing.
get in the car, Get in the car.
no, not
and and the he they said i had a stroke and another stroke, And they said I had a stroke and another stroke.
and and it was a carotid artery burst, And it was a carotid artery burst.
and then i was in there for two three four five six days," And then I was in there for a couple of days. No, two, three, four, five, six days."
but i couldn't remember anything, but I couldn't remember anything.
but mama mama came came up to see me and so did firstnameg, But Mama came up to see me and so did Ginger.
they were from north carolina and we were in memphis, They were from North Carolina and we were in Memphis.
and mama cried, And mama cried.
and i i wasn't dying because i told her i wasn't because she lost firstnamega and firstnameb and daddy, I wasn't dying because I told her I wasn't because she lost Kay and Bo and Daddy.
and i wasn't gonna die because i couldn't leave when when when them them gone too, and I wasn't going to die because I couldn't leave when them got on too.
my brother he was thirteen," They were, my brother was 13."
and my sister was twenty twenty eight," And my sister was 20, 27, 28."
and daddy was, and uh... daddy was
i i don't remember, I don't remember.
and so i wasn't going to die because i had a lot to live for and i'm gonna live for her if nothing else," And so I wasn't going to die because I had a lot to live for. And I'm going to live for her, if nothing else."
but they stayed with me, but they shared with me
i can't remember what happened then, I can't remember what happened then.
oh i was transferred to another hospital," Oh, I was transferred to another hospital."
the insurance wouldn't accept this hospital, The insurance wouldn't accept this hospital.
so i was transferred to, So I was transferred to
i can't remember what hospital, I can't remember what hospital.
but then i was transferred to the rehab hospital in memphis, but then I was transferred to the rehab hospital in Memphis
it was, It was a
oh gosh i i can't remember," Oh gosh, I can't remember."
it it it is was right down from my house, It was right down from my house.
and i had rehab, And I had rehab.
and i learned to walk, And I learned to walk.
i learned learned to talk some, I learned how to talk.
i i i learned to talk, hard to talk.
and and i've learned to eat and with my left hand, And I learned to eat with my left hand.
and i fell one time, And I fell one time
i fell one time from, I fell one time from
i i don't know what from, I don't know what from.
and they brought my dog up, And they brought my dog up.
merlin was so good, Marlin was so good.
he he grieved over me, he grieved over me
and he couldn't understand what's happening but he he," And he couldn't understand what's happening, but he"
yes, Yes.
and he was so good to me, And he was so good to me.
so i i moved to south carolina from memphis like eight eight," So I moved to South Carolina from Memphis like a few months ago, about six months, no"
it was after i had the stroke, It was a while after I had this drug.
but and i went to rehab," But I, um, and I went to rehab."
and i continued it, and I continued
and people in my sunday school class took me, And people in my Sunday school class taught me
they took me, They love me.
they didn't ask and they just took me, They didn't ask and they just took me.
because i don't know why but it didn't matter because they took me," because I don't know why, but it didn't matter because they taught me."
and firstnamet won't go to church but they took me because they liked me," And Terry won't go to church, but they took me because they liked me."
and i i'm still friends with them, and I met your friends with them.
no three of them are real good friends," Oh, two of them are real good. Three of them are real good friends."
and we we bought a house and we built a house because we couldn't find one, And we bought a house and we built a house because we couldn't find one.
we couldn't find one that i liked, we couldn't find one that I liked.
okay, Okay.
so we built a house, So we built a house.
yes it's got an upstairs but it's it's it's a half of story," Yes, it's gotten upstairs, but it's a half a story."
but it's better than going up and down stairs constantly, But it's better than going up and down stairs constantly.
it's so much better than than, it's so much better than
when before we we didn't build we we had a bedroom downstairs a a master bedroom and the one upstairs," When, before we, we didn't build, we, we had a bedroom downstairs, a master, a master bedroom, and one upstairs."
but so i i i went to david's bedroom and took it over," But, so I went to David's bedroom and took it over."
i don't know, on her
i can't remember, I can't remember.
it was but it it took awhile for it to register because i couldn't figure out where where i was at, was but it took a while for it to register because I couldn't figure out where I was
yes, Yes.
but it still gets that way sometimes, But it still gets that way sometimes.
no is it i can't think of restaurants and people and places and things like that," I can't spell words, no, I can't think of restaurants and people and places and things"
yes, Yes.
well i'll eventually think of it but it takes awhile," Well, I'll eventually think of it, but it takes a while."
no, No.
it oh i i am patient with it but it's it's irritating," Oh, I am patient with it, but it's irritating."
i'm i'm doing the church, I'm doing the dirt.
i i i went to rehab once twice three times four times," I went to rehab once, twice, three times, four times."
and i i i went to the down the street south carolina rehab, And I went to the South Carolina rehab
oh gosh, Oh gosh.
i need my notebook, I need my notebook.
okay, to get out
i went there there a few times, I went there a few times.
and i i oh gosh i did so much," And I, oh gosh, I did, oh, I did so much."
but, but uh
firstnames lastname is the one, Stacey Fritz is the one.
went there several times, but went there several times.
and i i was sposta work on the wii game but i i never did because my grandson was born during that," and I was supposed to work on the Wii game, but I never did because my grandson was born doing that."
okay, Okay.
and i've i've i've worked on this thing that that i wear a glove and i use this hand to do everything with, And I worked on this thing that I work love. And I used this hand to do everything with.
no hand, Exactly.
this hand hand, This hand.
yes, Yes.
that's it, That's it.
and i also went there to, And I also went there to
i i worked on another thing too, I've worked on another thing too.
and i went to reading some some, I went to read some
i i didn't do it much because it's too far to go, into it much because it's so far to go
it's it's further than the, And it's further than the...
firstnamec lastname, Charlie Adams.
i worked with him but i couldn't do it because the insurance won't wouldn't pay for it, worked with him but I couldn't do it because the insurance wouldn't pay for it.
okay, Okay.
when daddy died, Monday to God.
he died of cancer, He died of cancer.
and we were there with him, and we were there with them.
we were there, We were there.
we we left there to from memphis, We lived there from Memphis.
and we were there when he, and we were there when
he was sick, It was sick.
and he come out the hospital several days earlier, And he came out of the hospital several days earlier.
and firstnamet firstnamet stayed with him to the for mama to get away and go to a picnic," And Terry stayed with them for Mama to go to the, no, for Mama to get away and go to a picnic."
and it was so nice to for firstnamet to have that experience, And it was so nice for Terry to have that experience.
and but he seemed to be better but so we we took him home," But, uh, he seemed to be better. So we took him home."
and it it he talked to us but several day days after that i hadta call call firstnamet and tell him to come back because daddy had died," And he talked to us. But several days after that, I had to call Terry and tell him to come back, because Daddy had died."
yes but everybody loved him," It was, but everybody loved them."
but but firstnamem my preacher said he was so good," But Max, my preacher, said it was so good."
one a boy's kicking the ball, A boy's kicking the ball.
two the ball goes through the window, The bow goes through the window.
three the man man was there, uh... man was there
four and he he got the ball but when it went through the window," and he got the ball, but when it went through the window."
one a mother has an umbrella for her son, A mother has an umbrella or her son.
two he doesn't want it, He doesn't want it.
three and it begins to rain, and it begins to rain.
four and he hadta run to the house, And he had to run to the house.
five and he was wet, and he was sweat.
six and he had the umbrella later, and he had the umbrella blazers on.
